bin Ex Popul. 0- 0+ 1- 1+ 2- 2+ 3- 3+ 4- 4+ 5- 5+ 6- 6+ 7- 7+ 8- 8+ 9- 9+ 
108 0.3736670335167584 0.003679307009132867 0.0 0.0 0.003679307009132867 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
109 0.3771269134567284 0.0036958751200794277 0.0 0.0 0.0036958751200794277 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
110 0.3805867933966984 0.0037125126415467344 0.0 0.0 0.0037125126415467344 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
111 0.3840466733366683 0.0037292198337871446 0.0 0.0 0.0037292198337871446 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
112 0.3875065532766383 0.0037459969578477314 0.0 0.0 0.0037459969578477314 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
113 0.3909664332166083 0.0037628442755715955 0.0 0.0 0.0037628442755715955 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
114 0.3944263131565783 0.0037797620495991515 0.0 0.0 0.0037797620495991515 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
115 0.39788619309654827 0.003796750543369448 0.0 0.0 0.003796750543369448 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
116 0.40134607303651826 0.0038138100211214435 0.0 0.0 0.0038138100211214435 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
117 0.40480595297648825 0.0038309407478953083 0.0 0.0 0.0038309407478953083 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
118 0.40826583291645824 0.003848142989533678 0.0 0.0 0.003848142989533678 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
119 0.4117257128564282 0.003865417012682955 0.0 0.0 0.003865417012682955 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
120 0.4151855927963982 0.0038827630847945685 0.0 0.0 0.0038827630847945685 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
121 0.4186454727363682 0.0039001814741262204 0.0 0.0 0.0039001814741262204 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
122 0.4221053526763382 0.003917672449743164 0.0 0.0 0.003917672449743164 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
123 0.42556523261630813 0.003935236281519431 0.0 0.0 0.003935236281519431 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
124 0.4290251125562781 0.003952873240139096 0.0 0.0 0.003952873240139096 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
125 0.4324849924962481 0.003970583597097494 0.0 0.0 0.003970583597097494 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
126 0.4359448724362181 0.003988367624702455 0.0 0.0 0.003988367624702455 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
